Datetime,RT,RTD 2012-10-12 13:25,RTD 2012-10-12 13:20,RTD 2012-10-12 12:25,DA
2012-10-12 11:25:00-05:00,23.890000000000001,,,,30.09
2012-10-12 11:30:00-05:00,24.989999999999998,,,,30.09
2012-10-12 11:35:00-05:00,25.190000000000001,,,,30.09
2012-10-12 11:40:00-05:00,25.890000000000001,,,,30.09
2012-10-12 11:45:00-05:00,26.039999999999999,,,,30.09
2012-10-12 11:50:00-05:00,26.899999999999999,,,,30.09
2012-10-12 11:55:00-05:00,27.75,,,,30.09
2012-10-12 12:00:00-05:00,26.140000000000001,,,,33.5
2012-10-12 12:05:00-05:00,27.300000000000001,,,,33.5
2012-10-12 12:10:00-05:00,25.66,,,,33.5
2012-10-12 12:15:00-05:00,26.670000000000002,,,,33.5
2012-10-12 12:20:00-05:00,26.149999999999999,,,,33.5
2012-10-12 12:25:00-05:00,28.210000000000001,,,28.210000000000001,33.5
2012-10-12 12:30:00-05:00,27.02,,,26.510000000000002,33.5
2012-10-12 12:35:00-05:00,29.440000000000001,,,26.829999999999998,33.5
2012-10-12 12:40:00-05:00,26.469999999999999,,,27.550000000000001,33.5
2012-10-12 12:45:00-05:00,29.300000000000001,,,27.920000000000002,33.5
2012-10-12 12:50:00-05:00,28.059999999999999,,,27.59,33.5
2012-10-12 12:55:00-05:00,29.219999999999999,,,26.98,33.5
2012-10-12 13:00:00-05:00,29.300000000000001,,,26.890000000000001,38.960000000000001
2012-10-12 13:05:00-05:00,29.289999999999999,,,27.449999999999999,38.960000000000001
2012-10-12 13:10:00-05:00,29.32,,,28.710000000000001,38.960000000000001
2012-10-12 13:15:00-05:00,29.300000000000001,,,29.77,38.960000000000001
2012-10-12 13:20:00-05:00,32.049999999999997,,32.049999999999997,,38.960000000000001
2012-10-12 13:25:00-05:00,29.309999999999999,29.309999999999999,29.199999999999999,,38.960000000000001
2012-10-12 13:30:00-05:00,29.370000000000001,29.300000000000001,29.309999999999999,,38.960000000000001
2012-10-12 13:35:00-05:00,,29.789999999999999,29.850000000000001,,38.960000000000001
2012-10-12 13:40:00-05:00,,30.02,31.719999999999999,,38.960000000000001
2012-10-12 13:45:00-05:00,,31.109999999999999,31.66,,38.960000000000001
2012-10-12 13:50:00-05:00,,30.5,31.23,,38.960000000000001
2012-10-12 13:55:00-05:00,,29.760000000000002,30.210000000000001,,38.960000000000001
2012-10-12 14:00:00-05:00,,29.309999999999999,29.140000000000001,,40.899999999999999
2012-10-12 14:05:00-05:00,,29.309999999999999,29.309999999999999,,40.899999999999999
2012-10-12 14:10:00-05:00,,30.140000000000001,30.0,,40.899999999999999
2012-10-12 14:15:00-05:00,,31.100000000000001,,,40.899999999999999
2012-10-12 15:00:00-05:00,,,,,56.049999999999997
2012-10-12 16:00:00-05:00,,,,,51.32
2012-10-12 17:00:00-05:00,,,,,38.119999999999997
2012-10-12 18:00:00-05:00,,,,,33.609999999999999
2012-10-12 19:00:00-05:00,,,,,31.460000000000001
2012-10-12 20:00:00-05:00,,,,,29.789999999999999
2012-10-12 21:00:00-05:00,,,,,28.41
2012-10-12 22:00:00-05:00,,,,,27.280000000000001
2012-10-12 23:00:00-05:00,,,,,24.870000000000001
