Datetime,5MIN WIND,HOURLY WIND,STWPF FORECAST 2012-10-03 12:00,STWPF FORECAST 2012-10-04 15:00
2012-10-04 04:25:00-05:00,6984.7399999999998,7011.1300000000001,6328.8999999999996,6997.0
2012-10-04 04:30:00-05:00,6989.7200000000003,7011.1300000000001,6328.8999999999996,6997.0
2012-10-04 04:35:00-05:00,6995.8699999999999,7011.1300000000001,6328.8999999999996,6997.0
2012-10-04 04:40:00-05:00,6981.7399999999998,7011.1300000000001,6328.8999999999996,6997.0
2012-10-04 04:45:00-05:00,6987.75,7011.1300000000001,6328.8999999999996,6997.0
2012-10-04 04:50:00-05:00,7007.8800000000001,7011.1300000000001,6328.8999999999996,6997.0
2012-10-04 04:55:00-05:00,7027.8599999999997,7011.1300000000001,6328.8999999999996,6997.0
2012-10-04 05:00:00-05:00,7025.4499999999998,6693.7399999999998,5971.1000000000004,6640.6000000000004
2012-10-04 05:05:00-05:00,7004.0299999999997,6693.7399999999998,5971.1000000000004,6640.6000000000004
2012-10-04 05:10:00-05:00,6964.7200000000003,6693.7399999999998,5971.1000000000004,6640.6000000000004
2012-10-04 05:15:00-05:00,6908.9700000000003,6693.7399999999998,5971.1000000000004,6640.6000000000004
2012-10-04 05:20:00-05:00,6868.5600000000004,6693.7399999999998,5971.1000000000004,6640.6000000000004
2012-10-04 05:25:00-05:00,6794.46,6693.7399999999998,5971.1000000000004,6640.6000000000004
2012-10-04 05:30:00-05:00,6738.5600000000004,6693.7399999999998,5971.1000000000004,6640.6000000000004
2012-10-04 05:35:00-05:00,6694.8199999999997,6693.7399999999998,5971.1000000000004,6640.6000000000004
2012-10-04 05:40:00-05:00,6646.9899999999998,6693.7399999999998,5971.1000000000004,6640.6000000000004
2012-10-04 05:45:00-05:00,6575.4799999999996,6693.7399999999998,5971.1000000000004,6640.6000000000004
2012-10-04 05:50:00-05:00,6463.5900000000001,6693.7399999999998,5971.1000000000004,6640.6000000000004
2012-10-04 05:55:00-05:00,6340.4099999999999,6693.7399999999998,5971.1000000000004,6640.6000000000004
2012-10-04 06:00:00-05:00,6303.96,6043.7700000000004,5568.0,6101.1000000000004
2012-10-04 06:05:00-05:00,6340.5799999999999,6043.7700000000004,5568.0,6101.1000000000004
2012-10-04 06:10:00-05:00,6304.1800000000003,6043.7700000000004,5568.0,6101.1000000000004
2012-10-04 06:15:00-05:00,6260.8699999999999,6043.7700000000004,5568.0,6101.1000000000004
2012-10-04 06:20:00-05:00,6192.5,6043.7700000000004,5568.0,6101.1000000000004
2012-10-04 06:25:00-05:00,6113.71,6043.7700000000004,5568.0,6101.1000000000004
2012-10-04 06:30:00-05:00,6071.4799999999996,6043.7700000000004,5568.0,6101.1000000000004
2012-10-04 06:35:00-05:00,6039.0299999999997,6043.7700000000004,5568.0,6101.1000000000004
2012-10-04 06:40:00-05:00,5984.4300000000003,6043.7700000000004,5568.0,6101.1000000000004
2012-10-04 06:45:00-05:00,5910.3199999999997,6043.7700000000004,5568.0,6101.1000000000004
2012-10-04 06:50:00-05:00,5839.9099999999999,6043.7700000000004,5568.0,6101.1000000000004
2012-10-04 06:55:00-05:00,5766.3000000000002,6043.7700000000004,5568.0,6101.1000000000004
2012-10-04 07:00:00-05:00,5684.3100000000004,5105.1899999999996,5184.1000000000004,5286.6999999999998
2012-10-04 07:05:00-05:00,5534.3599999999997,5105.1899999999996,5184.1000000000004,5286.6999999999998
2012-10-04 07:10:00-05:00,5430.6099999999997,5105.1899999999996,5184.1000000000004,5286.6999999999998
2012-10-04 07:15:00-05:00,5383.4099999999999,5105.1899999999996,5184.1000000000004,5286.6999999999998
2012-10-04 07:20:00-05:00,5334.1099999999997,5105.1899999999996,5184.1000000000004,5286.6999999999998
2012-10-04 07:25:00-05:00,5270.4200000000001,5105.1899999999996,5184.1000000000004,5286.6999999999998
